;BBK01.OU1664;BBK01.OU1664_FLAGS,,,,,
;Wichtige Aktiva und Passiva der Banken (MFIs) in Deutschland nach Bankengruppen / Einlagen und aufgenommene Kredite von Banken (MFIs) / insgesamt / Zweigstellen ausländischer Banken;,,,,,
Einheit;DM/Euro (hypothetisch auf Exurobasis);,,,,,
Dimension;Milliarden;,,,,,
Stand vom;30.12.2022 08:07:32 Uhr;,,,,,
34.163,,,,,
34.778,,,,,
35.83,,,,,
35.908,,,,,
35.03,,,,,
34.603,,,,,
34.28,,,,,
34.687,,,,,
32.251,,,,,
33.453,,,,,
33.179,,,,,
32.57,,,,,
32.166,,,,,
32.88,,,,,
32.802,,,,,
32.94,,,,,
32.562,,,,,
32.514,,,,,
31.852,,,,,
33.089,,,,,
32.292,,,,,
34.039,,,,,
34.924,,,,,
33.25,,,,,
33.843,,,,,
34.635,,,,,
35.74,,,,,
35.218,,,,,
35.402,,,,,
35.894,,,,,
35.013,,,,,
34.038,,,,,
32.059,,,,,
32.954,,,,,
34.072,,,,,
37.104,,,,,
34.897,,,,,
34.18,,,,,
35.874,,,,,
36.739,,,,,
36.681,,,,,
36.793,,,,,
35.994,,,,,
35.997,,,,,
36.369,,,,,
34.998,,,,,
34.83,,,,,
38.75,,,,,
43.056,,,,,
43.68,,,,,
41.822,,,,,
43.079,,,,,
44.544,,,,,
440.67,,,,,
43.598,,,,,
45.245,,,,,
46.107,,,,,
44.438,,,,,
46.335,,,,,
46.017,,,,,
46.902,,,,,
46.856,,,,,
47.721,,,,,
48.407,,,,,
49.218,,,,,
47.486,,,,,
44.998,,,,,
47.267,,,,,
44.695,,,,,
44.719,,,,,
45.221,,,,,
46.625,,,,,
49.427,,,,,
50.971,,,,,
56.836,,,,,
59.677,,,,,
62.449,,,,,
66.553,,,,,
64.287,,,,,
64.381,,,,,
60.817,,,,,
61.909,,,,,
62.87,,,,,
65.057,,,,,
67.055,,,,,
64.948,,,,,
65.313,,,,,
63.237,,,,,
66.503,,,,,
66.487,,,,,
63.25,,,,,
65.8,,,,,
66.483,,,,,
68.127,,,,,
69.919,,,,,
70.292,,,,,
76.192,,,,,
68.879,,,,,
70.336,,,,,
73.245,,,,,
71.848,,,,,
68.605,,,,,
70.52,,,,,
70,,,,,
69.612,,,,,
71.239,,,,,
75.628,,,,,
73.128,,,,,
76.335,,,,,
79.079,,,,,
79.193,,,,,
81.004,,,,,
81.45,,,,,
73.454,,,,,
74.717,,,,,
79.239,,,,,
79.239,,,,,
80.712,,,,,
83.785,,,,,
83.132,,,,,
87.539,,,,,
90.199,,,,,
94.699,,,,,
96.876,,,,,
99.035,,,,,
92.854,,,,,
90.372,,,,,
87.712,,,,,
89.972,,,,,
90.713,,,,,
91.557,,,,,
85.38,,,,,
87.611,,,,,
80.974,,,,,
84.615,,,,,
91.849,,,,,
90.346,,,,,
82.717,,,,,
83.05,,,,,
79.389,,,,,
80.137,,,,,
78.105,,,,,
80.282,,,,,
78.563,,,,,
77.916,,,,,
80.136,,,,,
82.11,,,,,
83.148,,,,,
83.869,,,,,
82.591,,,,,
74.672,,,,,
74.314,,,,,
70.321,,,,,
69.834,,,,,
65.335,,,,,
64.99,,,,,
66.156,,,,,
65.47,,,,,
72.467,,,,,
76.342,,,,,
75.357,,,,,
66.024,,,,,
64.575,,,,,
66.553,,,,,
69.073,,,,,
68.226,,,,,
67.226,,,,,
69.644,,,,,
75.321,,,,,
74.385,,,,,
75.529,,,,,
86.868,,,,,
84.419,,,,,
78.935,,,,,
79.596,,,,,
73.697,,,,,
80.499,,,,,
82.276,,,,,
83.692,,,,,
77.344,,,,,
84.119,,,,,
85.339,,,,,
93.394,,,,,
96.376,,,,,
103.373,,,,,
91.147,,,,,
97.309,,,,,
94.797,,,,,
98.77,,,,,
97.279,,,,,
93.337,,,,,
98.258,,,,,
106.125,,,,,
108.566,,,,,
112.176,,,,,
112.914,,,,,
116.202,,,,,
103.621,,,,,
102.213,,,,,
100.526,,,,,
99.866,,,,,
97.383,,,,,
108.018,,,,,
124.705,,,,,
114.063,,,,,
118.086,,,,,
125.285,,,,,
137.146,,,,,
131.213,,,,,
123.904,,,,,
123.095,,,,,
129.089,,,,,
146.778,,,,,
152.097,,,,,
138.019,,,,,
142.588,,,,,
137.208,,,,,
141.369,,,,,
145.793,,,,,
141.764,,,,,
136.002,,,,,
156.782,,,,,
136.785,,,,,
128.169,,,,,
127.235,,,,,
124.294,,,,,
126.17,,,,,
122.399,,,,,
128.926,,,,,
131.611,,,,,
137.785,,,,,
141.8,,,,,
160.112,,,,,
148.104,,,,,
126.204,,,,,
131.873,,,,,
130.559,,,,,
123.452,,,,,
139.069,,,,,
133.361,,,,,
137.336,,,,,
136.084,,,,,
138.017,,,,,
133.937,,,,,
132.698,,,,,
128.54,,,,,
131.519,,,,,
146.021,,,,,
153.375,,,,,
170.649,,,,,
177.654,,,,,
151.404,,,,,
220.159,,,,,
252.064,,,,,
273.988,,,,,
272.748,,,,,
272.602,,,,,
271.977,,,,,
252.144,,,,,
278.451,,,,,
262.772,,,,,
233.898,,,,,
211.028,,,,,
200.32,,,,,
166.052,,,,,
156.412,,,,,
149.625,,,,,
136.617,,,,,
117.895,,,,,
135.358,,,,,
120.218,,,,,
103.993,,,,,
97.534,,,,,
98.161,,,,,
101.099,,,,,
98.257,,,,,
103.429,,,,,
101.255,,,,,
96.691,,,,,
97.118,,,,,
99.383,,,,,
89.184,,,,,
95.039,,,,,
93.645,,,,,
93.435,,,,,
100.754,,,,,
95.693,,,,,
101.161,,,,,
99.553,,,,,
99.284,,,,,
115.126,,,,,
122.52,,,,,
113.601,,,,,
118.579,,,,,
129.247,,,,,
139.403,,,,,
130.775,,,,,
132.351,,,,,
148.846,,,,,
144.266,,,,,
137.457,,,,,
143.996,,,,,
139.792,,,,,
160.086,,,,,
172.57,,,,,
169.91,,,,,
174.985,,,,,
189.184,,,,,
204.886,,,,,
199.396,,,,,
214.881,,,,,
222.435,,,,,
231.114,,,,,
239.731,,,,,
256.395,,,,,
244.501,,,,,
242.641,,,,,
240.525,,,,,
230.493,,,,,
207.742,,,,,
249.688,,,,,
230.208,,,,,
234.974,,,,,
234.787,,,,,
251.072,,,,,
251.07,,,,,
233.99,,,,,
253.575,,,,,
264.907,,,,,
69.93,,,,,
250.766,,,,,
258.685,,,,,
258.286,,,,,
226.065,,,,,
213.992,,,,,
215.863,,,,,
221.289,,,,,
220.08,,,,,
237.96,,,,,
250.778,,,,,
246.074,,,,,
259.095,,,,,
233.019,,,,,
219.716,,,,,
215.569,,,,,
222.827,,,,,
225.771,,,,,
189.662,,,,,
204.192,,,,,
210.184,,,,,
249.581,,,,,
244.694,,,,,
241.758,,,,,
257.133,,,,,
251.966,,,,,
248.118,,,,,
260.665,,,,,
248.156,,,,,
256.685,,,,,
237.093,,,,,
";""Bemerkung: MFIs = Monetäre Finanzinstitute. Einschl. Verbindlichkeiten aus Namensschuldverschreibungen", Namensgeldmarktpapieren, nicht börsenfähigen Inhaberschuldverschreibungen, nachrangigen Verbindlichkeiten," geldpolitischen Geschäften mit der Bundesbank sowie bis 1998 Verbindlichkeiten aus Treuhandkrediten und Indossamentsverbindlichkeiten. Bis 1998 ohne Verbindlichkeiten gegenüber inländischen Bausparkassen und Geldmarktfonds. Bis November 1968 in der Bankengruppe """"Regionalbanken und sonstige Kreditbanken"""" enthalten. Wegen der Behandlung von statistischen Brüchen und Korrekturen in den Zeitreihen siehe under """"Allgemeine Hinweise"""""," Abschnitt """"Zur Interpretation der Daten""""."";"
