"",BBNZ1.Q.DE.N.H.0947.A,BBNZ1.Q.DE.N.H.0947.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Other services,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,48.73,
1991-Q2,52.36,
1991-Q3,51.25,
1991-Q4,62.12,
1992-Q1,51.66,
1992-Q2,53.53,
1992-Q3,55.48,
1992-Q4,64.90,
1993-Q1,58.21,
1993-Q2,59.55,
1993-Q3,58.38,
1993-Q4,69.84,
1994-Q1,59.48,
1994-Q2,59.14,
1994-Q3,58.92,
1994-Q4,70.21,
1995-Q1,62.23,
1995-Q2,62.80,
1995-Q3,62.55,
1995-Q4,73.57,
1996-Q1,64.49,
1996-Q2,63.64,
1996-Q3,64.04,
1996-Q4,74.07,
1997-Q1,67.45,
1997-Q2,65.75,
1997-Q3,65.21,
1997-Q4,75.37,
1998-Q1,67.64,
1998-Q2,67.80,
1998-Q3,67.18,
1998-Q4,78.11,
1999-Q1,69.98,
1999-Q2,71.32,
1999-Q3,69.40,
1999-Q4,79.42,
2000-Q1,69.92,
2000-Q2,69.30,
2000-Q3,70.93,
2000-Q4,81.40,
2001-Q1,72.71,
2001-Q2,72.35,
2001-Q3,72.34,
2001-Q4,83.95,
2002-Q1,76.11,
2002-Q2,74.52,
2002-Q3,74.32,
2002-Q4,86.37,
2003-Q1,78.86,
2003-Q2,77.27,
2003-Q3,75.92,
2003-Q4,88.06,
2004-Q1,77.43,
2004-Q2,75.82,
2004-Q3,75.64,
2004-Q4,86.47,
2005-Q1,76.67,
2005-Q2,74.30,
2005-Q3,72.91,
2005-Q4,82.86,
2006-Q1,73.94,
2006-Q2,72.60,
2006-Q3,72.27,
2006-Q4,82.15,
2007-Q1,75.65,
2007-Q2,73.23,
2007-Q3,74.02,
2007-Q4,82.97,
2008-Q1,74.98,
2008-Q2,73.56,
2008-Q3,73.29,
2008-Q4,84.61,
2009-Q1,81.82,
2009-Q2,81.10,
2009-Q3,79.88,
2009-Q4,91.57,
2010-Q1,84.27,
2010-Q2,83.56,
2010-Q3,82.41,
2010-Q4,94.10,
2011-Q1,85.77,
2011-Q2,86.56,
2011-Q3,84.00,
2011-Q4,97.00,
2012-Q1,88.59,
2012-Q2,87.60,
2012-Q3,86.72,
2012-Q4,100.35,
2013-Q1,92.22,
2013-Q2,90.51,
2013-Q3,89.36,
2013-Q4,103.39,
2014-Q1,96.11,
2014-Q2,94.59,
2014-Q3,92.93,
2014-Q4,106.91,
2015-Q1,98.26,
2015-Q2,96.59,
2015-Q3,94.92,
2015-Q4,110.08,
2016-Q1,103.87,
2016-Q2,100.13,
2016-Q3,99.91,
2016-Q4,117.13,
2017-Q1,105.29,
2017-Q2,102.31,
2017-Q3,101.31,
2017-Q4,118.25,
2018-Q1,107.54,
2018-Q2,103.49,
2018-Q3,104.60,
2018-Q4,121.70,
2019-Q1,109.85,
2019-Q2,110.48,
2019-Q3,107.48,
2019-Q4,126.06,
2020-Q1,119.35,
2020-Q2,130.54,
2020-Q3,111.87,
2020-Q4,149.73,
2021-Q1,128.49,
2021-Q2,124.39,
2021-Q3,113.65,
2021-Q4,149.50,
2022-Q1,128.72,
2022-Q2,121.52,
2022-Q3,117.31,
