Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=383.CLIFS.M.DE._Z.4F.EC.CLIFS_CI.IDX&start=31-12-1990&end=31-12-2020&submitOptions.x=0&submitOptions.y=0&trans=QF
,CLIFS.M.DE._Z.4F.EC.CLIFS_CI.IDX,Quarterly Frequency
,"Germany, Country-Level Index of Financial Stress (CLIFS) Composite Indicator , Index",
Collection:,Other (V),
Period\Unit:,[Pure number ],
,,obs. status
2020Dec,0.0628,Normal value (A),0.0873
2020Nov,0.0951,Normal value (A),
2020Oct,0.1039,Normal value (A),
2020Sep,0.0922,Normal value (A),0.1095
2020Aug,0.1269,Normal value (A),
2020Jul,0.1093,Normal value (A),
2020Jun,0.1557,Normal value (A),0.1804
2020May,0.1636,Normal value (A),
2020Apr,0.2218,Normal value (A),
2020Mar,0.2579,Normal value (A),0.1472
2020Feb,0.0976,Normal value (A),
2020Jan,0.0862,Normal value (A),
2019Dec,0.0582,Normal value (A),0.0718
2019Nov,0.0955,Normal value (A),
2019Oct,0.0618,Normal value (A),
2019Sep,0.0950,Normal value (A),0.0959
2019Aug,0.1223,Normal value (A),
2019Jul,0.0703,Normal value (A),
2019Jun,0.0751,Normal value (A),0.0734
2019May,0.0793,Normal value (A),
2019Apr,0.0658,Normal value (A),
2019Mar,0.1081,Normal value (A),0.1129
2019Feb,0.0807,Normal value (A),
2019Jan,0.1499,Normal value (A),
2018Dec,0.0995,Normal value (A),0.1081
2018Nov,0.1144,Normal value (A),
2018Oct,0.1103,Normal value (A),
2018Sep,0.0734,Normal value (A),0.0621
2018Aug,0.0604,Normal value (A),
2018Jul,0.0524,Normal value (A),
2018Jun,0.0645,Normal value (A),0.0619
2018May,0.0650,Normal value (A),
2018Apr,0.0562,Normal value (A),
2018Mar,0.0640,Normal value (A),0.0730
2018Feb,0.1242,Normal value (A),
2018Jan,0.0307,Normal value (A),
2017Dec,0.0403,Normal value (A),0.0454
2017Nov,0.0377,Normal value (A),
2017Oct,0.0582,Normal value (A),
2017Sep,0.0363,Normal value (A),0.0765
2017Aug,0.0757,Normal value (A),
2017Jul,0.1176,Normal value (A),
2017Jun,0.0950,Normal value (A),0.0851
2017May,0.0907,Normal value (A),
2017Apr,0.0697,Normal value (A),
